,Date,stock,value,change
1,1/3/2007,MSFT,23.950705,-0.167452273
2,1/3/2007,IBM,80.517962,1.069188761
3,1/3/2007,SBUX,16.149666,0.113476031
4,1/3/2007,AAPL,11.086612,2.219568972
5,1/3/2007,GSPC,1416.599976,0.122828606
6,1/4/2007,MSFT,23.910599,-0.570278478
7,1/4/2007,IBM,81.378851,-0.905299093
8,1/4/2007,SBUX,16.167992,-0.425055876
9,1/4/2007,AAPL,11.332687,-0.712125906
10,1/4/2007,GSPC,1418.339966,-0.608458142
11,1/5/2007,MSFT,23.774242,0.978411846
12,1/5/2007,IBM,80.642129,1.519199723
13,1/5/2007,SBUX,16.099269,-0.369948474
14,1/5/2007,AAPL,11.251984,0.49383291
15,1/5/2007,GSPC,1409.709961,0.222031842
16,1/8/2007,MSFT,24.006852,0.100229718
17,1/8/2007,IBM,81.867244,1.183010387
18,1/8/2007,SBUX,16.03971,-0.428442908
19,1/8/2007,AAPL,11.30755,8.307016109
20,1/8/2007,GSPC,1412.839966,-0.051667635
21,1/9/2007,MSFT,24.030914,-1.001335197
22,1/9/2007,IBM,82.835742,-1.179174565
23,1/9/2007,SBUX,15.970989,-0.315553407
24,1/9/2007,AAPL,12.24687,4.785557453
25,1/9/2007,GSPC,1412.109985,0.19403524
26,1/10/2007,MSFT,23.790284,3.506410432
27,1/10/2007,IBM,81.858964,-0.242691808
28,1/10/2007,SBUX,15.920592,3.050363956
29,1/10/2007,AAPL,12.832951,-1.237104389
30,1/10/2007,GSPC,1414.849976,0.633987359
31,1/11/2007,MSFT,24.624469,1.66122973
32,1/11/2007,IBM,81.660299,0.699437801
33,1/11/2007,SBUX,16.406228,0.251331385
34,1/11/2007,AAPL,12.674194,-1.231731185
35,1/11/2007,GSPC,1423.819946,0.485316561
36,1/12/2007,MSFT,25.033538,-0.160201087
37,1/12/2007,IBM,82.231462,1.489836092
38,1/12/2007,SBUX,16.447462,0.891359409
39,1/12/2007,AAPL,12.518082,2.621000565
40,1/12/2007,GSPC,1430.72998,0.081779512
41,1/16/2007,MSFT,24.993434,-0.192550571
42,1/16/2007,IBM,83.456576,-0.793496489
43,1/16/2007,SBUX,16.594068,0.193261833
44,1/16/2007,AAPL,12.846181,-2.214214481
45,1/16/2007,GSPC,1431.900024,-0.089393741
46,1/17/2007,MSFT,24.945309,-0.32154743
47,1/17/2007,IBM,82.794351,-0.569885499
48,1/17/2007,SBUX,16.626138,-1.432900413
49,1/17/2007,AAPL,12.561739,-6.192725386
50,1/17/2007,GSPC,1430.619995,-0.297073997
51,1/18/2007,MSFT,24.865098,0.35484276
52,1/18/2007,IBM,82.322518,-3.298138913
53,1/18/2007,SBUX,16.387902,-0.642992617
54,1/18/2007,AAPL,11.783825,-0.639945009
55,1/18/2007,GSPC,1426.369995,0.289546542
56,1/19/2007,MSFT,24.95333,-1.253620258
57,1/19/2007,IBM,79.607407,0.977437941
58,1/19/2007,SBUX,16.282529,-0.703434952
59,1/19/2007,AAPL,11.708415,-1.932208587
60,1/19/2007,GSPC,1430.5,-0.527790912
61,1/22/2007,MSFT,24.64051,0.065104172
62,1/22/2007,IBM,80.38552,-0.030891136
63,1/22/2007,SBUX,16.167992,-0.96344679
64,1/22/2007,AAPL,11.482184,-1.255902187
65,1/22/2007,GSPC,1422.949951,0.354196505
66,1/23/2007,MSFT,24.656552,1.138581745
67,1/23/2007,IBM,80.360688,0.329625102
68,1/23/2007,SBUX,16.012222,-0.457794053
69,1/23/2007,AAPL,11.337979,1.166865806
70,1/23/2007,GSPC,1427.98999,0.850147066
71,1/24/2007,MSFT,24.937287,-2.058535878
72,1/24/2007,IBM,80.625577,0.112936866
73,1/24/2007,SBUX,15.938919,-2.356997987
74,1/24/2007,AAPL,11.470278,-0.519037115
75,1/24/2007,GSPC,1440.130005,-1.126980269
76,1/25/2007,MSFT,24.423944,0.492610858
77,1/25/2007,IBM,80.716633,-0.061537502
78,1/25/2007,SBUX,15.563239,-0.264944849
79,1/25/2007,AAPL,11.410743,-1.008698557
80,1/25/2007,GSPC,1423.900024,-0.120792891
81,1/26/2007,MSFT,24.544259,-0.228758179
82,1/26/2007,IBM,80.666962,1.11852607
83,1/26/2007,SBUX,15.522005,2.007086069
84,1/26/2007,AAPL,11.295643,0.655890063
85,1/26/2007,GSPC,1422.180054,-0.109694901
86,1/29/2007,MSFT,24.488112,-0.163777428
87,1/29/2007,IBM,81.569243,0.8422991
88,1/29/2007,SBUX,15.833545,0
89,1/29/2007,AAPL,11.36973,-0.453801454
90,1/29/2007,GSPC,1420.619995,0.577209319
91,1/30/2007,MSFT,24.448006,1.246723352
92,1/30/2007,IBM,82.2563,-0.221395808
93,1/30/2007,SBUX,15.833545,1.099532669
94,1/30/2007,AAPL,11.318134,0.210405708
95,1/30/2007,GSPC,1428.819946,0.659288389
96,1/31/2007,MSFT,24.752805,-0.972136289
97,1/31/2007,IBM,82.074188,-0.151287516
98,1/31/2007,SBUX,16.00764,-1.516888186
99,1/31/2007,AAPL,11.341948,-1.15479281
100,1/31/2007,GSPC,1438.23999,0.535373168
101,2/1/2007,MSFT,24.512174,-1.210729003
102,2/1/2007,IBM,81.95002,0.171715638
